DISTNAME,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT22R,DA0912DR22R,DAGC4X22R,DAGC5X21R,DAGC6X20R,DA0GR22N,DA0GS22N,DDA00A001S23R,DDA00A001223R,DDA00A001323R,DDA00AR01S23R,DDA00AR01223R,DDA00AR01323R,DDA00AM01S23R,DDA00AM01223R,DDA00AM01323R,DDA00AC01S23R,DDA00AC01223R,DDA00AC01323R,DDA00AS01S23R,DDA00AS01223R,DDA00AS01323R,DDB00A001S23R,DDB00A001223R,DDB00A001323R,DDH00A001S23R,DDH00A001223R,DDH00A001323R,DDW00A001S23R,DDW00A001223R,DDW00A001323R,DDI00A001S23R,DDI00A001223R,DDI00A001323R,DD300A001S23R,DD300A001223R,DD300A001323R,DD400A001S23R,DD400A001223R,DD400A001323R,DD200A001S23R,DD200A001223R,DD200A001323R,DDE00A001S23R,DDE00A001223R,DDE00A001323R,DA0CT22R,DA0CC22R,dA0csa22r,dA0caa22r,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
CALDWELL ISD,026901,026 BURLESON,06,4,1900,8.2,39.1,47.3,0.2,0.6,0.1,4.6,62.1,14.7,11.5,14.4,29.4,3.2,94,0,96.4,99.1,100,132,118,83,54,21,81,58,22,84,49,21,82,51,15,85,58,24,64,33,8,79,42,13,89,66,29,100,100,100,70,70,25,-1,-1,-1,83,55,21,76,42,13,56.8,32,989,-1,310.1,141.7,1.5,3.6,4.6,45.7,21.5,23.2,109656,82036,73592,55432,26.5,6.1,13.4,30.9,12.9,21.1,21.3,4.9,9.9,83.8,0.7,0,0,0.7,72.4,7.5,4,1.4,11.7,3,797088,1.185,32970881,17987,25988580,29.2,55.8,15.1,6982301,8663506,0,34484200,22878284,12481,53.2,6.9,5.9,14,20.1,12174014,6642,41.3,8.2,5.2,0.9,4.4,0.3,3.8,0,0,32.8,"1,600 to 2,999",Other Central City Suburban,"$753,747 to < $836,417",$1.1800 to under $1.3001
SOMERVILLE ISD,026902,026 BURLESON,06,3,529,16.1,37.4,38.9,0,0.9,0,6.6,74.3,10.4,12.5,11.9,30.1,2.5,91.4,1.9,94.4,96.6,100,35,26,62,29,5,61,31,5,61,27,7,64,36,4,62,22,3,57,24,9,54,24,3,71,36,7,,,,75,25,0,,,,62,34,2,55,24,3,54.3,5.3,907,15.5,80.7,49.8,3.7,8,5.6,61.7,8.7,12.4,86394,70523,69904,54337,31.5,6.6,10.6,50,10,16,44.1,13,20,67,0,0,0,0,80.1,7,2.8,0.6,8.1,1.4,703015,1.155,9542627,17639,8458520,34,42.2,23.8,1084107,2439387,0,9582237,8179748,15120,50.3,11.4,6.3,12.2,19.7,4117407,7611,39.9,6.5,5.3,0.8,5.3,0,3.6,0.1,0.7,35.3,500 to 999,Rural,"$640,713 to < $711,268",$1.0600 to under $1.1800
SNOOK ISD,026903,026 BURLESON,06,2,589,16.6,36.5,43.8,0.3,0,0,2.7,68.6,15.8,11.9,15.8,34.8,4.6,94.1,0,93.9,97.6,100,33,27,73,45,17,72,48,15,74,47,23,72,31,7,76,45,21,56,27,8,70,40,14,82,57,24,100,100,20,,,,,,,67,29,4,65,34,9,60.6,15,950,15.7,103.4,48.6,2.9,1.1,8.8,47,10.4,29.9,100384,73013,67088,55016,23.4,5.7,12.1,45.3,9.4,22.5,36,6.2,4.1,89.7,0,0,0,0,83,4,0,2.1,11,0,578618,1.347,9568955,18089,8460726,44.3,39.4,16.3,1108229,1896505,0,9624457,8179058,15461,50.7,9.7,6.3,13.1,20.2,4147234,7840,32.3,6.6,11.5,0.6,5.2,1.8,5.8,0,0.7,31.9,500 to 999,Rural,"$574,353 to < $604,829",$1.3001 and over
BURNET CISD,027903,027 BURNET,13,6,3296,1,32.8,62.7,0.5,0.7,0.1,2.3,60.9,10.9,16.4,10.5,26,4.4,91.9,0.7,96.7,97,97.8,223,199,72,42,13,74,47,13,70,35,9,73,42,13,70,43,19,66,17,0,63,31,7,76,48,16,65,25,0,83,61,33,-1,-1,-1,83,46,11,65,33,8,83.9,18.7,924,21.7,485.6,235,2.3,4.1,8.9,48.4,11.5,24.9,104941,75954,66574,55441,13.4,6.8,14,36.8,11.7,23.2,31.9,0.4,6.7,91.7,0,0,0.3,0.9,66,5.7,15,3,5.7,4.6,1170786,1.077,46679769,14310,38988694,7.8,76.9,15.2,7691075,10300909,0,67713615,38258713,11729,55.1,6.9,5.3,11.6,21,21095264,6467,34.7,12.4,14.9,0.8,3.6,0.2,2.6,0,0.4,28,"3,000 to 4,999",Other Central City Suburban,"$1,147,749 and over",$1.0600 to under $1.1800
MARBLE FALLS ISD,027904,027 BURNET,13,7,4051,1.6,49.8,44.3,0.4,1,0.1,2.8,67.4,22.9,16.8,22.7,27.5,6.9,93.5,0.4,97.2,98.9,98.4,321,260,73,43,17,74,47,17,71,37,14,72,42,15,77,52,29,59,28,14,64,31,9,83,57,25,59,28,3,72,49,23,-1,-1,-1,81,52,22,66,34,10,78.8,17,936,21.6,673.3,298.1,1.8,3.4,9.4,44.3,13.4,27.8,113837,74694,67339,55488,25.1,6,13.6,36.1,11.5,18.4,28.5,0.3,14.4,83.6,0.3,0,0,1.3,61.2,9.3,9.1,8.1,6,6.2,1259389,1.115,58872857,14737,47053755,5.7,78.1,16.2,11819102,16145761,0,65699527,47833654,11973,53.8,8.5,5,11.1,21.5,25754005,6447,31.3,12.9,9.9,1.3,4.5,0.7,3.1,0,2.1,31.5,"3,000 to 4,999",Independent Town,"$1,147,749 and over",$1.0600 to under $1.1800
LOCKHART ISD,028902,028 CALDWELL,13,9,6430,2.3,80,15.8,0.2,0.2,0,1.5,73,35.2,12.9,34.2,28,5,88.9,3.5,85.8,93.7,96.6,377,318,67,36,11,65,37,10,64,32,12,75,40,12,69,37,13,65,27,6,65,32,9,79,55,23,71,43,7,83,57,37,,,,71,45,14,63,31,8,79.3,13.7,894,19.7,792.8,405.4,2,2.9,14.9,51.1,10.1,19,98074,82567,66398,56565,51.8,8.1,15.9,51.2,9,19.6,24.4,3.9,37.1,56.3,0.5,0.7,0.5,1,61.6,14.4,2.2,13.8,7.6,0.5,347754,1.13,77731985,12708,72025853,48.7,30.8,20.5,5706132,19826771,0,76064723,68797518,11247,58.9,7,4.8,8.4,21,40496604,6620,38.9,13.8,8.1,1.5,4,0.3,1.9,0,0.7,28.4,"5,000 to 9,999",Other Central City Suburban,"$316,888 to < $355,840",$1.0600 to under $1.1800
LULING ISD,028903,028 CALDWELL,13,3,1410,6,69.2,22.4,0.1,0.1,0.1,2,79.1,13.9,13,13.8,22.1,5.7,92.1,0.9,96.3,96.7,94.9,105,77,71,41,14,68,41,13,71,36,13,80,44,14,75,47,22,60,29,10,69,36,11,81,59,22,,,,-1,-1,-1,-1,-1,-1,77,61,29,68,35,11,82.9,5.7,832,,195.6,108.1,2.6,3.8,7.9,55.3,11.7,18.8,117298,79896,71499,55725,44.4,7.2,13,59,8.1,19.7,34.9,5.5,31.3,62.2,0,0.9,0,0,78,8.8,2,0.2,7.2,3.8,410013,1.255,19499990,13684,17588252,48.3,32.7,19,1911738,7669911,0,27381045,15642972,10978,54.1,9.8,6.8,8.7,20.7,8456530,5934,34.8,8.3,22.1,0.6,4.3,0.3,2.7,0.1,0.8,23.1,"1,000 to 1,599",Non-metropolitan Stable,"$399,525 to < $437,254",$1.1800 to under $1.3001
PRAIRIE LEA ISD,028906,028 CALDWELL,13,1,229,5.2,66.4,24.9,0.4,0,0,3.1,79.9,12.7,10.9,12.2,34.1,3.1,93.4,0,87.5,92.3,100,13,11,40,10,1,44,15,1,33,2,0,39,9,0,53,16,8,37,11,0,37,9,1,42,9,1,-1,-1,-1,,,,,,,81,25,0,39,10,1,92.3,8.3,855,-1,34.7,19.2,5.8,7.2,2.8,55.4,2.9,25.9,68920,69863,53377,50363,37,6.6,11.9,44.9,10.8,13.5,63.7,10.1,10.4,74.3,0,5.2,0,0,77.3,1.3,5.2,0,16.2,0,625391,1.243,3920288,16682,3525744,41.6,41.3,17.1,394544,346113,0,4673518,3402117,14477,50,13.7,10.1,10.2,16,1701233,7239,31.2,3.8,13.8,0.4,8.2,0.1,3.1,0,2.5,35.4,Under 500,Rural,"$604,829 to < $640,713",$1.1800 to under $1.3001
CALHOUN COUNTY ISD,029901,029 CALHOUN,03,7,3518,1.4,67.8,25,0.1,5,0,0.7,64.2,13.8,12.4,13.7,23.1,6.4,92.3,0.6,98.1,98.5,97.4,290,250,79,48,17,78,51,18,79,47,17,80,47,18,74,41,14,70,32,14,76,43,13,85,59,24,80,50,0,87,72,40,-1,-1,-1,83,52,17,73,40,12,38.6,26.8,998,18.4,563.2,258.1,1.2,2.5,7.5,45.8,13.8,29.2,111567,86254,67211,57295,39.3,6.2,13.6,23,15.2,14.4,20.8,1.8,20.9,76.5,0,0.8,0,0,74.4,11.8,0,3.1,5.8,4.9,1080952,1.096,56189837,15779,48942198,7,66.8,26.2,7247639,17942404,0,57041758,46900174,13171,54.1,6.6,5.3,16.2,17.8,25360320,7122,26.8,13.1,13,0.5,4.3,1.8,3,0,0,31.4,"3,000 to 4,999",Non-metropolitan Stable,"$1,048,130 to < $1,147,749",$1.0600 to under $1.1800
CROSS PLAINS ISD,030901,030 CALLAHAN,14,2,374,0,20.1,78.6,0.3,0,0,1.1,68.2,2.9,13.4,2.9,32.6,6.1,93.9,0.9,100,100,100,20,18,86,54,20,88,61,25,84,52,20,87,47,12,80,46,14,,,,85,51,18,86,55,21,-1,-1,-1,,,,,,,,,,85,52,20,85,5.9,,17.8,66.3,37.1,1.5,3.8,2.7,56,17,19.1,96910,76470,51860,52792,4.5,5.6,10.1,14,14.7,16.2,27.8,0,5.4,94.6,0,0,0,0,77.6,5.1,4.8,0,9.6,3,508084,0.986,5926780,15679,5757356,52.2,34.2,13.6,169424,1654443,0,6030039,5074137,13424,54.8,7.2,5.4,12.6,20,2779219,7352,37.7,6,9,0.1,5.4,0.3,6,0.2,1.3,31.8,Under 500,Rural,"$488,752 to < $523,458",Under $1.0600
CLYDE CISD,030902,030 CALLAHAN,14,4,1437,0.8,16.9,77.8,0.1,0,0.1,4.2,48.6,0.9,15.2,0.9,27.7,5.2,94.3,0,98.8,96.8,100,85,69,84,56,22,82,59,22,84,52,20,87,55,19,88,64,35,79,64,29,85,56,18,83,56,23,-1,-1,-1,,,,-1,-1,-1,87,59,29,80,47,16,60,25.5,-1,20,233.6,110.9,1.3,3.1,6.9,47.5,18.3,22.9,105838,72441,54485,51446,9.3,6.2,13,21.8,16.3,20.4,20.5,0,7.1,92.9,0,0,0,0,69.8,10.5,14.2,0,5.5,0.1,371381,1.313,19550183,13662,17670939,49.9,31.9,18.3,1879244,2419619,0,19557515,17448602,12193,56.1,7.3,5.2,12.5,19,9791539,6842,38.9,7.7,12.7,0.3,4.6,0.2,3.4,0,0.2,29.6,"1,000 to 1,599",Other Central City Suburban,"$355,840 to < $399,525",$1.3001 and over
BAIRD ISD,030903,030 CALLAHAN,14,2,310,0.3,21,76.5,0,0,0,2.3,51.6,0,20.3,0,24.8,9,94.3,1,95.7,100,100,24,23,79,47,15,81,51,15,75,36,17,83,56,11,83,53,13,,,,72,35,8,82,50,17,,,,,,,,,,75,56,6,71,36,13,79.2,5.3,,17.8,60.4,32.6,1.7,4.6,4.4,54,9.4,25.9,118450,72374,63051,48017,21.4,5.1,9.5,39.7,11.3,9.9,31.9,0,15.2,84.8,0,0,0,0,79.4,5.9,5.9,0,8.3,0.6,965207,1.201,6055632,20668,5420798,29.9,56.1,14.1,634834,1787609,0,8171280,4797066,16372,42.4,19.4,7.5,11.8,18.9,2032871,6938,33.8,5.6,6.3,0,7,0.9,5.4,0,0,39.3,Under 500,Rural,"$836,417 to < $989,691",$1.1800 to under $1.3001
EULA ISD,030906,030 CALLAHAN,14,3,473,0.2,18.8,76.7,0.6,0.4,0.4,2.7,46.7,0.2,17.5,0.2,24.7,6.1,95.4,0.9,100,100,100,22,19,85,59,26,85,61,29,84,52,20,89,66,27,87,70,38,,,,83,55,25,86,61,27,-1,-1,-1,100,100,60,40,0,0,80,60,27,79,48,18,100,7.1,,17.9,80.5,49.9,1.4,3.6,6.7,62,11.5,14.8,57371,54182,49538,48766,5.9,5.9,9.5,25.5,13.4,13,8.3,0,0,96.1,2,0,0,2,75.3,9.8,6.5,0,7.7,0.7,673018,1.15,7808345,16901,7162629,38.7,46.3,15,645716,3150192,0,7669516,6549456,14176,58.8,7.1,5.9,12.2,16,3852335,8338,50.4,5.9,5.1,0,4.4,0.2,2.7,0,0.6,29.5,Under 500,Rural,"$640,713 to < $711,268",$1.0600 to under $1.1800
BROWNSVILLE ISD,031901,031 CAMERON,01,52,37854,0.1,98.3,1.3,0,0.2,0,0,89.1,39.9,16.1,39.5,29.3,10.3,89.9,0.7,95.4,97.4,96.8,3211,3079,78,50,18,78,55,20,77,47,18,77,43,12,77,49,23,81,67,28,77,50,18,78,54,25,-1,-1,-1,94,83,50,67,42,42,90,80,40,76,47,17,57.8,15.7,939,17.6,5935.8,2575.9,0.2,2.3,10,43.4,12.3,31.9,176622,92930,78501,63396,93.7,6.4,14.7,17.8,15.5,19,10,0.1,92.5,7,0.1,0.1,0.2,0,74.6,12,0.4,2.4,6,4.5,176023,1.175,616437836,16048,598926944,54.4,12.9,32.7,17510892,132200233,0,604178356,555262173,14455,53.1,7.5,4.9,10.6,24,294541412,7668,31.3,12.1,13.8,1.3,3.5,0.1,2.1,0,1.2,31.1,"25,000 to 49,999",Other Central City,"Under $191,241",$1.0600 to under $1.1800
HARLINGEN CISD,031903,031 CAMERON,01,31,17023,0.5,94.2,4.5,0.1,0.3,0,0.4,79.3,15.6,12.2,19,25.6,7.4,91,1.3,93.4,95.8,96,1311,1122,76,46,16,78,52,17,72,38,12,79,45,13,80,50,25,86,58,19,76,45,15,83,60,26,61,35,13,97,84,53,85,85,55,88,38,0,73,41,12,52.3,24.4,967,19.3,2708.6,1197.8,0.7,3.4,9.6,44.2,11.6,30.3,123970,83592,70415,59083,90.6,6.3,14.2,32.5,11.2,24.3,15,0.3,86.8,12.5,0.1,0.1,0.1,0.3,63.3,9.2,0.4,13.7,5.8,7.7,251660,1.156,248895532,14622,240339324,51.4,20.4,28.2,8556208,41048432,0,249699272,224037510,13162,52.3,7.5,5.8,11.8,22.7,117102122,6879,41,9.9,9.3,1,4.5,0.6,1.8,0.2,0.2,29.8,"10,000 to 24,999",Other Central City Suburban,"$191,241 to < $251,917",$1.0600 to under $1.1800
LA FERIA ISD,031905,031 CAMERON,01,7,2924,0.1,97.1,2.2,0.2,0.1,0,0.2,87.3,15.3,13.7,14.6,34.4,5.3,91.5,2.3,92.5,96.6,96.2,229,225,73,40,11,76,48,12,72,33,10,66,32,6,73,44,13,56,33,0,73,40,11,80,49,17,73,27,0,,,,,,,40,30,10,70,37,9,27.9,28.1,1028,20.2,503.1,208.9,1.6,4.1,8.4,41.5,15.1,29.3,96352,75061,64887,56895,92.3,5.8,14,34.4,12.3,15.6,14.2,0,90.6,9.4,0,0,0,0,72.7,12,0.6,4.2,7.5,3.1,184629,1.156,46216223,15893,44549373,55.6,12.6,31.9,1666850,9937715,0,46424287,41923546,14417,52.1,8.8,5.3,13.9,19.8,21860577,7517,42.9,6.3,9.3,0.6,3.8,0.1,3.4,0,0,32,"1,600 to 2,999",Non-metropolitan Stable,"Under $191,241",$1.0600 to under $1.1800
LOS FRESNOS CISD,031906,031 CAMERON,01,14,10536,0.2,96.6,2.8,0.1,0.2,0,0.1,80.6,23.1,15.8,24.5,44.6,7.3,90.6,1,93.1,97.3,96.6,757,639,81,56,23,83,61,25,81,54,23,83,53,19,75,47,24,88,88,65,81,55,23,89,71,36,33,17,0,98,95,60,,,,-1,-1,-1,79,51,19,38.7,43.7,1044,21.3,1629.2,683.9,1,2.6,9.6,42,12.9,31.9,109139,75463,69114,59161,93.3,6.5,15.4,23.4,13,34.1,11.8,0.3,88.2,11.3,0,0.1,0,0,50.7,8.9,0.1,19.1,8.9,12.2,232068,1.152,150238160,14540,142521982,54.6,21.6,23.8,7716178,25915497,0,162471256,130443100,12624,56.2,6.3,5.3,8.9,23.3,73356227,7099,42.1,9.7,10.7,0.8,4.6,0.1,1.7,0,1.6,26.7,"10,000 to 24,999",Other Central City Suburban,"$191,241 to < $251,917",$1.0600 to under $1.1800
POINT ISABEL ISD,031909,031 CAMERON,01,5,1930,0.5,90.4,7.9,0.4,0.2,0.1,0.6,87.4,39.6,11.2,37.7,40,5.6,92.5,3.4,93,89.6,94.3,150,150,75,42,14,79,52,17,72,32,10,73,33,10,75,48,24,82,55,18,74,40,13,89,60,25,89,67,11,100,75,38,-1,-1,-1,79,58,26,74,39,12,61.3,15.2,949,16.3,328,134.2,3,3.4,10.9,40.9,11.1,30.7,90204,82844,65010,58247,89.1,5.9,14.4,26.6,12.8,21.6,15.1,0,84.3,15.7,0,0,0,0,77.9,4.4,4.3,7.5,2.5,3.5,2125065,1.009,34110485,17333,32393140,6.1,61.9,32.1,1717345,16105087,0,33864187,28424213,14443,47.9,7.5,4.7,14.3,25.6,13610778,6916,23.2,8.6,18.7,6.8,3.2,0.1,3.7,0,0,32.2,"1,600 to 2,999",Other Central City Suburban,"$1,147,749 and over",Under $1.0600
RIO HONDO ISD,031911,031 CAMERON,01,4,1622,0.2,95.5,3.9,0,0,0,0.4,87,12.2,15.2,11.1,4.7,7.2,87.5,3.6,90.5,90.8,95.8,120,95,68,37,10,71,45,12,65,26,6,67,36,9,65,40,12,71,14,0,68,36,9,73,48,15,,,,,,,,,,100,40,0,66,34,9,42.5,13.7,926,17.8,290.7,121,1.7,2.1,7.2,41.6,8.9,38.4,100382,88090,68531,58214,92.2,5.6,13.4,28.6,12.2,21,16.1,0,88,12,0,0,0,0,78,6,0,1.8,10,4.2,225202,1.45,35956508,22445,30179994,54.5,15.6,29.9,5776514,6803489,0,34212522,23989725,14975,43.4,8.4,4.6,18.3,25.3,10405014,6495,36.7,7.9,8.4,1.1,3.2,0,4,0,0,37.3,"1,600 to 2,999",Non-metropolitan Stable,"$191,241 to < $251,917",$1.3001 and over
SAN BENITO CISD,031912,031 CAMERON,01,22,9348,0.2,98.4,1.2,0.1,0,0,0.1,86.7,26.9,12,26.9,35,4.3,89.2,2.3,89.3,93.7,94.5,665,626,70,38,11,69,41,11,70,33,11,71,36,9,75,40,16,89,58,26,70,37,11,89,58,22,-1,-1,-1,,,,-1,-1,-1,88,75,13,69,35,10,34.3,10.1,879,17.2,1469.9,634.7,0.5,2,9.9,43.2,11.1,33.4,123590,80733,68028,58977,95.3,6.4,14.7,27.7,12.9,19.1,13.6,0,93.9,5.9,0,0.2,0,0,69,11.4,0.4,8.3,8.5,2.4,136570,1.305,151874104,16506,143214293,53.1,10.2,36.7,8659811,50193260,0,151225234,131806338,14325,53.2,8.9,5,13.4,19.5,70070457,7616,29.6,9.6,13.7,0.9,4.4,0.1,1.8,0,2,29.5,"5,000 to 9,999",Other Central City Suburban,"Under $191,241",$1.3001 and over
SANTA MARIA ISD,031913,031 CAMERON,01,5,565,0.2,97.7,1.6,0,0,0,0.5,99.8,47.6,9,46.2,25.3,7.6,93.4,3.4,94.4,94,96.7,36,33,66,28,7,66,35,7,67,24,7,66,23,3,62,28,11,-1,-1,-1,66,28,7,-1,-1,-1,,,,,,,,,,67,0,0,66,28,7,36.1,0,,16.2,167.2,59.6,1.2,3,12,35.6,13.5,34.7,112280,77633,60238,49887,95.2,3.4,9.5,47,11.2,21.1,34.6,0,89.9,10.1,0,0,0,0,76.5,9.6,0,4.4,7.7,1.8,135612,1.517,14068580,25909,13294788,58.7,7.1,34.2,773792,3520473,0,16457765,12010722,22119,50.5,13.5,4.1,12.2,19.6,6069540,11178,25.9,4.2,33.5,1.6,3.1,0,3.4,0,0,27.6,500 to 999,Rural,"Under $191,241",$1.3001 and over
SANTA ROSA ISD,031914,031 CAMERON,01,3,915,0,99.2,0.8,0,0,0,0,87.9,21.2,14.4,20.7,32.2,3.6,90.4,1.3,87.1,97.8,100,63,59,70,37,10,72,43,13,67,32,6,71,33,10,71,36,13,-1,-1,-1,70,37,10,80,40,10,,,,,,,,,,-1,-1,-1,68,36,10,36.5,17.4,931,16.8,199.5,88.1,2.8,2.5,9,44.2,10.6,31,96782,81609,59290,54777,96.9,4.6,10.4,38.1,11.2,20.5,27.7,0,93.3,6.7,0,0,0,0,70.6,11.7,0,7.4,6.9,3.5,151693,1.253,21059042,24834,18873788,55.8,8.6,35.6,2185254,6619497,0,19224303,16493878,19450,51.3,10.3,5.2,15,18.1,8466326,9984,29.6,8.4,16.1,0.8,4.5,0,3.9,0,0.1,34,500 to 999,Non-metropolitan Stable,"Under $191,241",$1.1800 to under $1.3001
SOUTH TEXAS ISD,031916,031 CAMERON,01,7,4345,1.2,84.5,6.7,0.1,6.6,0,0.8,55.5,15.1,4.8,13.7,82,16.8,92.4,0,99.5,99.9,99.8,625,622,94,76,39,95,84,40,93,69,36,94,69,36,93,75,46,98,92,66,93,74,36,97,85,53,90,70,20,99,91,65,-1,-1,-1,96,83,58,92,69,30,95,45.8,1091,20.7,646.9,313.4,0.2,3.7,8.9,48.4,4.3,34.5,250000,104481,80337,65947,90.7,6.7,13.9,28.4,12.2,31.1,19.8,0.6,78.9,15.3,1,3.8,0,0.3,27,5.4,1.4,0,21.6,44.6,0,0.043,90113235,21198,89694900,47.8,39.4,12.7,418335,40291078,0,82103570,71695495,16866,49.2,8.3,5.5,15.1,21.9,35252618,8293,41.5,6.3,4.8,0.3,16.1,0.3,0,0,0,29.6,"3,000 to 4,999",Non-metropolitan Stable,Non-taxing entities,Non-taxing entities
PITTSBURG ISD,032902,032 CAMP,08,5,2358,15.3,44.5,34.8,0.1,0.8,0,4.4,81.3,21.2,12.8,20.5,31.7,4.5,94.3,0.1,99.4,100,100,162,143,85,57,19,85,59,19,84,54,19,88,56,19,81,56,25,75,42,11,86,55,17,88,65,26,-1,-1,-1,91,61,17,,,,83,58,20,83,52,16,68.5,25.2,1002,19.6,436.3,210.5,1.2,3.4,5.9,48.3,12.6,28.7,104941,73438,62584,49408,33.1,5.4,11.2,31.3,11.8,16.2,16.9,8,11.2,78.3,0.4,0,0,2.1,66.3,12,9.6,3.3,5.4,3.3,416935,1.088,33762073,14355,31763675,42.7,29.4,27.9,1998398,9341342,0,33036236,30323247,12893,57.8,5.2,7.2,11.5,18.4,17512622,7446,43.9,8.9,10.9,1.3,3.8,0.2,3.1,0,0,25.8,"1,600 to 2,999",Non-metropolitan Stable,"$399,525 to < $437,254",$1.0600 to under $1.1800
GROOM ISD,033901,033 CARSON,16,1,149,0,7.4,91.9,0,0,0,0.7,34.2,0.7,21.5,0.7,11.4,2,96.4,0,100,100,100,9,7,90,60,17,90,64,16,92,57,16,91,69,23,80,44,16,,,,94,50,31,89,61,16,,,,,,,,,,,,,80,55,13,100,0,,16.3,34.7,19.3,2.2,2.9,5.6,55.7,13.7,19.9,90815,68650,40577,53601,11.3,4.3,7.7,26.1,12.9,24.8,20,0,4.9,91.8,0,0,0,3.3,86.5,4.3,2.5,0,6.8,0,819951,1.294,3890101,27204,2792538,52.4,37.6,10,1097563,3697256,0,3854397,2629393,18387,55.1,9.5,5.7,14.8,14.9,1449517,10136,40.5,6.1,10.2,0.1,6.3,0.1,4.9,0,0.3,29.6,Under 500,Rural,"$753,747 to < $836,417",$1.1800 to under $1.3001
PANHANDLE ISD,033902,033 CARSON,16,3,657,1.1,13.2,80.8,1.1,0.6,0,3.2,30.1,2,14.2,2,32.4,7.9,94.9,0,100,100,100,48,42,89,68,30,89,71,30,88,66,29,94,68,27,90,62,38,55,18,0,80,50,17,92,71,32,100,100,100,100,100,100,,,,79,61,25,81,52,20,87.5,57.1,1060,22.6,109.2,58.9,2.3,2.7,4.6,54,16.1,20.3,96265,81923,57756,49785,11,6,11.1,33.6,14.5,17.6,28.4,0,1.7,96.6,1.7,0,0,0,76.3,6.1,5.9,0,10.5,1.1,836416,0.963,9282658,14001,9109288,25.1,62.3,12.6,173370,3737856,0,9641320,8647041,13042,53.5,9.6,6,13.7,17.2,4629951,6983,38.2,6.1,6.1,0.1,5.4,0.2,3.2,0.3,0.8,36.2,500 to 999,Rural,"$753,747 to < $836,417",Under $1.0600
WHITE DEER ISD,033904,033 CARSON,16,2,334,0.6,16.8,81.4,0.6,0,0,0.6,53.3,2.7,13.5,2.4,27.5,8.4,94.4,0,100,100,100,18,16,85,54,19,85,58,19,83,48,17,86,55,16,90,62,29,-1,-1,-1,81,49,23,85,57,20,-1,-1,-1,,,,87,43,7,-1,-1,-1,81,49,15,94.4,5.9,-1,17.1,64.1,33.1,0.3,3.1,6.2,51.6,11,27.8,-2,72978,61744,51143,7.7,5.2,10.1,26.3,14.2,23.7,19.3,0,0,100,0,0,0,0,83.6,4,2.9,0,9.5,0,680644,1.281,6040118,17817,5084174,41.6,46.6,11.8,955944,2961626,0,5601007,4635147,13673,56.4,10.2,5.5,14,14,2612453,7706,42.1,8,4,0.1,4.3,0,2.8,0,0.2,36.4,Under 500,Rural,"$640,713 to < $711,268",$1.1800 to under $1.3001
ATLANTA ISD,034901,034 CASS,08,4,1877,30,9.3,52.6,0.5,0.5,0.1,6.9,65.6,2.5,14,2.5,36.6,8.7,93.7,0.2,100,97.2,100,124,109,81,52,21,84,59,24,77,45,18,78,47,15,87,57,26,70,35,11,86,57,23,87,61,26,90,40,10,92,62,23,-1,-1,-1,82,54,24,77,45,18,85.5,19.8,-1,18.1,353.3,153.3,1,2.8,10.8,43.4,16.9,25,119991,74668,59887,50119,24,5.3,12.2,30,12.5,16.1,20.4,10.5,2,86.9,0,0,0.7,0,66.1,8.7,3.5,0.3,13.1,8.2,309762,1.108,29497364,15476,29003634,44.9,24,31.1,493730,7350563,0,25151853,23890506,12534,53.4,8.4,6.4,10.4,21.4,12764216,6697,29.8,14.2,15.4,0.1,6,0.2,3.5,0,1.3,27.2,"1,600 to 2,999",Independent Town,"$251,917 to < $316,888",$1.0600 to under $1.1800
